FIPS,location,census population 2010,estimated population 2019
16059,"Lemhi County, Idaho","7,936","8,027"
16061,"Lewis County, Idaho","3,821","3,838"
16063,"Lincoln County, Idaho","5,208","5,366"
16065,"Madison County, Idaho","37,536","39,907"
16067,"Minidoka County, Idaho","20,069","21,039"
16069,"Nez Perce County, Idaho","39,265","40,408"
16071,"Oneida County, Idaho","4,286","4,531"
16073,"Owyhee County, Idaho","11,526","11,823"
16075,"Payette County, Idaho","22,623","23,951"
16077,"Power County, Idaho","7,817","7,681"
16079,"Shoshone County, Idaho","12,765","12,882"
16081,"Teton County, Idaho","10,170","12,142"
16083,"Twin Falls County, Idaho","77,230","86,878"
16085,"Valley County, Idaho","9,862","11,392"
16087,"Washington County, Idaho","10,198","10,194"
17001,"Adams County, Illinois","67,103","65,435"
17003,"Alexander County, Illinois","8,238","5,761"
17005,"Bond County, Illinois","17,768","16,426"
17007,"Boone County, Illinois","54,165","53,544"
17009,"Brown County, Illinois","6,937","6,578"
17011,"Bureau County, Illinois","34,978","32,628"
17013,"Calhoun County, Illinois","5,089","4,739"
17015,"Carroll County, Illinois","15,387","14,305"
17017,"Cass County, Illinois","13,642","12,147"
17019,"Champaign County, Illinois","201,081","209,689"
17021,"Christian County, Illinois","34,800","32,304"
17023,"Clark County, Illinois","16,335","15,441"
17025,"Clay County, Illinois","13,815","13,184"
17027,"Clinton County, Illinois","37,762","37,562"
17029,"Coles County, Illinois","53,873","50,621"
17031,"Cook County, Illinois","5,194,675","5,150,233"
17033,"Crawford County, Illinois","19,817","18,667"
17035,"Cumberland County, Illinois","11,048","10,766"
17039,"De Witt County, Illinois","16,561","15,638"
17037,"DeKalb County, Illinois","105,160","104,897"
17041,"Douglas County, Illinois","19,980","19,465"
17043,"DuPage County, Illinois","916,924","922,921"
17045,"Edgar County, Illinois","18,576","17,161"
17047,"Edwards County, Illinois","6,721","6,395"
17049,"Effingham County, Illinois","34,242","34,008"
17051,"Fayette County, Illinois","22,140","21,336"
17053,"Ford County, Illinois","14,081","12,961"
17055,"Franklin County, Illinois","39,561","38,469"
17057,"Fulton County, Illinois","37,069","34,340"
17059,"Gallatin County, Illinois","5,589","4,828"
17061,"Greene County, Illinois","13,886","12,969"
17063,"Grundy County, Illinois","50,063","51,054"
17065,"Hamilton County, Illinois","8,457","8,116"
17067,"Hancock County, Illinois","19,104","17,708"
17069,"Hardin County, Illinois","4,320","3,821"
17071,"Henderson County, Illinois","7,331","6,646"
17073,"Henry County, Illinois","50,486","48,913"
17075,"Iroquois County, Illinois","29,718","27,114"
17077,"Jackson County, Illinois","60,218","56,750"
17079,"Jasper County, Illinois","9,698","9,610"
17081,"Jefferson County, Illinois","38,827","37,684"
17083,"Jersey County, Illinois","22,985","21,773"
17085,"Jo Daviess County, Illinois","22,678","21,235"
17087,"Johnson County, Illinois","12,582","12,417"
17089,"Kane County, Illinois","515,269","532,403"
17091,"Kankakee County, Illinois","113,449","109,862"
17093,"Kendall County, Illinois","114,736","128,990"
17095,"Knox County, Illinois","52,919","49,699"
17097,"Lake County, Illinois","703,462","696,535"
17099,"LaSalle County, Illinois","113,924","108,669"
17101,"Lawrence County, Illinois","16,833","15,678"
17103,"Lee County, Illinois","36,031","34,096"
17105,"Livingston County, Illinois","38,950","35,648"
17107,"Logan County, Illinois","30,305","28,618"
17115,"Macon County, Illinois","110,768","104,009"
17117,"Macoupin County, Illinois","47,765","44,926"
17119,"Madison County, Illinois","269,282","262,966"
17121,"Marion County, Illinois","39,437","37,205"
17123,"Marshall County, Illinois","12,640","11,438"
17125,"Mason County, Illinois","14,666","13,359"
17127,"Massac County, Illinois","15,429","13,772"
17109,"McDonough County, Illinois","32,612","29,682"
17111,"McHenry County, Illinois","308,760","307,774"
17113,"McLean County, Illinois","169,572","171,517"
17129,"Menard County, Illinois","12,705","12,196"
17131,"Mercer County, Illinois","16,434","15,437"
17133,"Monroe County, Illinois","32,957","34,637"
17135,"Montgomery County, Illinois","30,104","28,414"
17137,"Morgan County, Illinois","35,547","33,658"
17139,"Moultrie County, Illinois","14,846","14,501"
17141,"Ogle County, Illinois","53,497","50,643"
17143,"Peoria County, Illinois","186,494","179,179"
17145,"Perry County, Illinois","22,350","20,916"
17147,"Piatt County, Illinois","16,729","16,344"
17149,"Pike County, Illinois","16,430","15,561"
17151,"Pope County, Illinois","4,470","4,177"
17153,"Pulaski County, Illinois","6,161","5,335"
17155,"Putnam County, Illinois","6,006","5,739"
17157,"Randolph County, Illinois","33,476","31,782"
17159,"Richland County, Illinois","16,233","15,513"
17161,"Rock Island County, Illinois","147,546","141,879"
17165,"Saline County, Illinois","24,913","23,491"
17167,"Sangamon County, Illinois","197,465","194,672"
17169,"Schuyler County, Illinois","7,544","6,768"
17171,"Scott County, Illinois","5,355","4,951"
17173,"Shelby County, Illinois","22,363","21,634"
17163,"St. Clair County, Illinois","270,056","259,686"
17175,"Stark County, Illinois","5,994","5,342"
17177,"Stephenson County, Illinois","47,711","44,498"
17179,"Tazewell County, Illinois","135,394","131,803"
17181,"Union County, Illinois","17,808","16,653"
17183,"Vermilion County, Illinois","81,625","75,758"
17185,"Wabash County, Illinois","11,947","11,520"
17187,"Warren County, Illinois","17,707","16,844"
17189,"Washington County, Illinois","14,716","13,887"
17191,"Wayne County, Illinois","16,760","16,215"
17193,"White County, Illinois","14,665","13,537"
17195,"Whiteside County, Illinois","58,498","55,175"
17197,"Will County, Illinois","677,560","690,743"
17199,"Williamson County, Illinois","66,357","66,597"
17201,"Winnebago County, Illinois","295,266","282,572"
17203,"Woodford County, Illinois","38,664","38,459"
18001,"Adams County, Indiana","34,387","35,777"
18003,"Allen County, Indiana","355,329","379,299"
18005,"Bartholomew County, Indiana","76,794","83,779"
18007,"Benton County, Indiana","8,854","8,748"
18009,"Blackford County, Indiana","12,766","11,758"
18011,"Boone County, Indiana","56,640","67,843"
18013,"Brown County, Indiana","15,242","15,092"
18015,"Carroll County, Indiana","20,155","20,257"
18017,"Cass County, Indiana","38,966","37,689"
18019,"Clark County, Indiana","110,232","118,302"
18021,"Clay County, Indiana","26,890","26,225"
18023,"Clinton County, Indiana","33,224","32,399"
18025,"Crawford County, Indiana","10,713","10,577"
18027,"Daviess County, Indiana","31,648","33,351"
18029,"Dearborn County, Indiana","50,047","49,458"
18031,"Decatur County, Indiana","25,740","26,559"
18033,"DeKalb County, Indiana","42,223","43,475"
18035,"Delaware County, Indiana","117,671","114,135"
18037,"Dubois County, Indiana","41,889","42,736"
18039,"Elkhart County, Indiana","197,559","206,341"
18041,"Fayette County, Indiana","24,277","23,102"
18043,"Floyd County, Indiana","74,578","78,522"
18045,"Fountain County, Indiana","17,240","16,346"
18047,"Franklin County, Indiana","23,087","22,758"
18049,"Fulton County, Indiana","20,836","19,974"
18051,"Gibson County, Indiana","33,503","33,659"
18053,"Grant County, Indiana","70,061","65,769"
18055,"Greene County, Indiana","33,165","31,922"
18057,"Hamilton County, Indiana","274,569","338,011"
18059,"Hancock County, Indiana","70,002","78,168"
18061,"Harrison County, Indiana","39,364","40,515"
18063,"Hendricks County, Indiana","145,448","170,311"
18065,"Henry County, Indiana","49,462","47,972"
18067,"Howard County, Indiana","82,752","82,544"
18069,"Huntington County, Indiana","37,124","36,520"
18071,"Jackson County, Indiana","42,376","44,231"
18073,"Jasper County, Indiana","33,478","33,562"
18075,"Jay County, Indiana","21,253","20,436"
18077,"Jefferson County, Indiana","32,428","32,308"
18079,"Jennings County, Indiana","28,525","27,735"
18081,"Johnson County, Indiana","139,654","158,167"
18083,"Knox County, Indiana","38,440","36,594"
18085,"Kosciusko County, Indiana","77,358","79,456"
18087,"LaGrange County, Indiana","37,128","39,614"
18089,"Lake County, Indiana","496,005","485,493"
18091,"LaPorte County, Indiana","111,467","109,888"
18093,"Lawrence County, Indiana","46,134","45,370"
18095,"Madison County, Indiana","131,636","129,569"
18097,"Marion County, Indiana","903,393","964,582"
18099,"Marshall County, Indiana","47,051","46,258"
18101,"Martin County, Indiana","10,334","10,255"
18103,"Miami County, Indiana","36,903","35,516"
18105,"Monroe County, Indiana","137,974","148,431"
18107,"Montgomery County, Indiana","38,124","38,338"
18109,"Morgan County, Indiana","68,894","70,489"
18111,"Newton County, Indiana","14,244","13,984"
18113,"Noble County, Indiana","47,536","47,744"
18115,"Ohio County, Indiana","6,128","5,875"
18117,"Orange County, Indiana","19,840","19,646"
18119,"Owen County, Indiana","21,575","20,799"
18121,"Parke County, Indiana","17,339","16,937"
18123,"Perry County, Indiana","19,338","19,169"
18125,"Pike County, Indiana","12,845","12,389"
18127,"Porter County, Indiana","164,343","170,389"
18129,"Posey County, Indiana","25,910","25,427"
18131,"Pulaski County, Indiana","13,402","12,353"
18133,"Putnam County, Indiana","37,963","37,576"
18135,"Randolph County, Indiana","26,171","24,665"
18137,"Ripley County, Indiana","28,818","28,324"
18139,"Rush County, Indiana","17,392","16,581"
18143,"Scott County, Indiana","24,181","23,873"
18145,"Shelby County, Indiana","44,436","44,729"
18147,"Spencer County, Indiana","20,952","20,277"
18141,"St. Joseph County, Indiana","266,931","271,826"
18149,"Starke County, Indiana","23,363","22,995"
18151,"Steuben County, Indiana","34,185","34,594"
18153,"Sullivan County, Indiana","21,475","20,669"
18155,"Switzerland County, Indiana","10,613","10,751"
18157,"Tippecanoe County, Indiana","172,780","195,732"
18159,"Tipton County, Indiana","15,936","15,148"
18161,"Union County, Indiana","7,516","7,054"
18163,"Vanderburgh County, Indiana","179,703","181,451"
18165,"Vermillion County, Indiana","16,212","15,498"
18167,"Vigo County, Indiana","107,848","107,038"
18169,"Wabash County, Indiana","32,888","30,996"
18171,"Warren County, Indiana","8,508","8,265"
18173,"Warrick County, Indiana","59,689","62,998"
18175,"Washington County, Indiana","28,262","28,036"
18177,"Wayne County, Indiana","68,917","65,884"
18179,"Wells County, Indiana","27,636","28,296"
18181,"White County, Indiana","24,643","24,102"
18183,"Whitley County, Indiana","33,292","33,964"
19001,"Adair County, Iowa","7,682","7,152"
19003,"Adams County, Iowa","4,029","3,602"
19005,"Allamakee County, Iowa","14,330","13,687"
19007,"Appanoose County, Iowa","12,887","12,426"
19009,"Audubon County, Iowa","6,119","5,496"
19011,"Benton County, Iowa","26,076","25,645"
19013,"Black Hawk County, Iowa","131,090","131,228"
19015,"Boone County, Iowa","26,306","26,234"
19017,"Bremer County, Iowa","24,276","25,062"
19019,"Buchanan County, Iowa","20,958","21,175"
19021,"Buena Vista County, Iowa","20,260","19,620"
19023,"Butler County, Iowa","14,867","14,439"
19025,"Calhoun County, Iowa","9,670","9,668"
19027,"Carroll County, Iowa","20,816","20,165"
19029,"Cass County, Iowa","13,956","12,836"
19031,"Cedar County, Iowa","18,499","18,627"
19033,"Cerro Gordo County, Iowa","44,151","42,450"
19035,"Cherokee County, Iowa","12,072","11,235"
19037,"Chickasaw County, Iowa","12,439","11,933"
19039,"Clarke County, Iowa","9,286","9,395"
19041,"Clay County, Iowa","16,667","16,016"
19043,"Clayton County, Iowa","18,129","17,549"
19045,"Clinton County, Iowa","49,116","46,429"
19047,"Crawford County, Iowa","17,096","16,820"
19049,"Dallas County, Iowa","66,135","93,453"
19051,"Davis County, Iowa","8,753","9,000"
19053,"Decatur County, Iowa","8,457","7,870"
19055,"Delaware County, Iowa","17,764","17,011"
19057,"Des Moines County, Iowa","40,325","38,967"
19059,"Dickinson County, Iowa","16,667","17,258"
19061,"Dubuque County, Iowa","93,653","97,311"
19063,"Emmet County, Iowa","10,302","9,208"
19065,"Fayette County, Iowa","20,880","19,650"
19067,"Floyd County, Iowa","16,303","15,642"
19069,"Franklin County, Iowa","10,680","10,070"
19071,"Fremont County, Iowa","7,441","6,960"
19073,"Greene County, Iowa","9,336","8,888"
19075,"Grundy County, Iowa","12,453","12,232"
19077,"Guthrie County, Iowa","10,954","10,689"
19079,"Hamilton County, Iowa","15,673","14,773"
19081,"Hancock County, Iowa","11,341","10,630"
19083,"Hardin County, Iowa","17,534","16,846"
19085,"Harrison County, Iowa","14,928","14,049"
19087,"Henry County, Iowa","20,145","19,954"
19089,"Howard County, Iowa","9,566","9,158"
19091,"Humboldt County, Iowa","9,815","9,558"
19093,"Ida County, Iowa","7,089","6,860"
19095,"Iowa County, Iowa","16,355","16,184"
19097,"Jackson County, Iowa","19,848","19,439"
19099,"Jasper County, Iowa","36,842","37,185"
19101,"Jefferson County, Iowa","16,843","18,295"
19103,"Johnson County, Iowa","130,882","151,140"
19105,"Jones County, Iowa","20,638","20,681"
19107,"Keokuk County, Iowa","10,511","10,246"
19109,"Kossuth County, Iowa","15,543","14,813"
19111,"Lee County, Iowa","35,862","33,657"
19113,"Linn County, Iowa","211,226","226,706"
19115,"Louisa County, Iowa","11,387","11,035"
19117,"Lucas County, Iowa","8,898","8,600"
19119,"Lyon County, Iowa","11,581","11,755"
19121,"Madison County, Iowa","15,679","16,338"
19123,"Mahaska County, Iowa","22,381","22,095"
19125,"Marion County, Iowa","33,309","33,253"
19127,"Marshall County, Iowa","40,648","39,369"
19129,"Mills County, Iowa","15,059","15,109"
19131,"Mitchell County, Iowa","10,776","10,586"
19133,"Monona County, Iowa","9,243","8,615"
19135,"Monroe County, Iowa","7,970","7,707"
19137,"Montgomery County, Iowa","10,740","9,917"
19139,"Muscatine County, Iowa","42,745","42,664"
19141,"O'Brien County, Iowa","14,398","13,753"
19143,"Osceola County, Iowa","6,462","5,958"
19145,"Page County, Iowa","15,932","15,107"
19147,"Palo Alto County, Iowa","9,421","8,886"
19149,"Plymouth County, Iowa","24,986","25,177"
19151,"Pocahontas County, Iowa","7,310","6,619"
19153,"Polk County, Iowa","430,640","490,161"
19155,"Pottawattamie County, Iowa","93,158","93,206"
19157,"Poweshiek County, Iowa","18,914","18,504"
19159,"Ringgold County, Iowa","5,131","4,894"
19161,"Sac County, Iowa","10,350","9,721"
19163,"Scott County, Iowa","165,224","172,943"
19165,"Shelby County, Iowa","12,167","11,454"
19167,"Sioux County, Iowa","33,704","34,855"
19169,"Story County, Iowa","89,542","97,117"
19171,"Tama County, Iowa","17,767","16,854"
19173,"Taylor County, Iowa","6,317","6,121"
19175,"Union County, Iowa","12,534","12,241"
19177,"Van Buren County, Iowa","7,570","7,044"
19179,"Wapello County, Iowa","35,625","34,969"
19181,"Warren County, Iowa","46,225","51,466"
19183,"Washington County, Iowa","21,704","21,965"
19185,"Wayne County, Iowa","6,403","6,441"
19187,"Webster County, Iowa","38,013","35,904"
19189,"Winnebago County, Iowa","10,866","10,354"
19191,"Winneshiek County, Iowa","21,056","19,991"
19193,"Woodbury County, Iowa","102,172","103,107"
19195,"Worth County, Iowa","7,598","7,381"
19197,"Wright County, Iowa","13,229","12,562"
20001,"Allen County, Kansas","13,371","12,369"
20003,"Anderson County, Kansas","8,102","7,858"
20005,"Atchison County, Kansas","16,924","16,073"
20007,"Barber County, Kansas","4,861","4,427"
20009,"Barton County, Kansas","27,674","25,779"
20011,"Bourbon County, Kansas","15,173","14,534"
20013,"Brown County, Kansas","9,984","9,564"
20015,"Butler County, Kansas","65,880","66,911"
20017,"Chase County, Kansas","2,790","2,648"
20019,"Chautauqua County, Kansas","3,669","3,250"
20021,"Cherokee County, Kansas","21,603","19,939"
20023,"Cheyenne County, Kansas","2,726","2,657"
20025,"Clark County, Kansas","2,215","1,994"
20027,"Clay County, Kansas","8,535","8,002"
20029,"Cloud County, Kansas","9,533","8,786"
20031,"Coffey County, Kansas","8,601","8,179"
20033,"Comanche County, Kansas","1,891","1,700"
20035,"Cowley County, Kansas","36,311","34,908"
20037,"Crawford County, Kansas","39,134","38,818"
20039,"Decatur County, Kansas","2,961","2,827"
20041,"Dickinson County, Kansas","19,754","18,466"
20043,"Doniphan County, Kansas","7,945","7,600"
20045,"Douglas County, Kansas","110,826","122,259"
20047,"Edwards County, Kansas","3,037","2,798"
20049,"Elk County, Kansas","2,882","2,530"
20051,"Ellis County, Kansas","28,452","28,553"
20053,"Ellsworth County, Kansas","6,497","6,102"
20055,"Finney County, Kansas","36,776","36,467"
20057,"Ford County, Kansas","33,848","33,619"
20059,"Franklin County, Kansas","25,992","25,544"
20061,"Geary County, Kansas","34,362","31,670"
20063,"Gove County, Kansas","2,695","2,636"
20065,"Graham County, Kansas","2,597","2,482"
20067,"Grant County, Kansas","7,829","7,150"
20069,"Gray County, Kansas","6,006","5,988"
20071,"Greeley County, Kansas","1,247","1,232"
20073,"Greenwood County, Kansas","6,689","5,982"
20075,"Hamilton County, Kansas","2,690","2,539"
20077,"Harper County, Kansas","6,034","5,436"
20079,"Harvey County, Kansas","34,684","34,429"
20081,"Haskell County, Kansas","4,256","3,968"
20083,"Hodgeman County, Kansas","1,916","1,794"
20085,"Jackson County, Kansas","13,462","13,171"
20087,"Jefferson County, Kansas","19,126","19,043"
20089,"Jewell County, Kansas","3,077","2,879"
20091,"Johnson County, Kansas","544,179","602,401"
20093,"Kearny County, Kansas","3,977","3,838"
20095,"Kingman County, Kansas","7,858","7,152"
20097,"Kiowa County, Kansas","2,553","2,475"
20099,"Labette County, Kansas","21,607","19,618"
20101,"Lane County, Kansas","1,750","1,535"
20103,"Leavenworth County, Kansas","76,227","81,758"
20105,"Lincoln County, Kansas","3,241","2,962"
20107,"Linn County, Kansas","9,656","9,703"
20109,"Logan County, Kansas","2,756","2,794"
20111,"Lyon County, Kansas","33,690","33,195"
20115,"Marion County, Kansas","12,660","11,884"
20117,"Marshall County, Kansas","10,117","9,707"
20113,"McPherson County, Kansas","29,180","28,542"
20119,"Meade County, Kansas","4,575","4,033"
20121,"Miami County, Kansas","32,787","34,237"
20123,"Mitchell County, Kansas","6,373","5,979"
20125,"Montgomery County, Kansas","35,471","31,829"
20127,"Morris County, Kansas","5,923","5,620"
20129,"Morton County, Kansas","3,233","2,587"
20131,"Nemaha County, Kansas","10,178","10,231"
20133,"Neosho County, Kansas","16,512","16,007"
20135,"Ness County, Kansas","3,107","2,750"
20137,"Norton County, Kansas","5,671","5,361"
20139,"Osage County, Kansas","16,295","15,949"
20141,"Osborne County, Kansas","3,858","3,421"
20143,"Ottawa County, Kansas","6,091","5,704"
20145,"Pawnee County, Kansas","6,973","6,414"
20147,"Phillips County, Kansas","5,642","5,234"
20149,"Pottawatomie County, Kansas","21,604","24,383"
20151,"Pratt County, Kansas","9,656","9,164"
20153,"Rawlins County, Kansas","2,519","2,530"
20155,"Reno County, Kansas","64,511","61,998"
20157,"Republic County, Kansas","4,980","4,636"
20159,"Rice County, Kansas","10,083","9,537"
20161,"Riley County, Kansas","71,115","74,232"
20163,"Rooks County, Kansas","5,181","4,920"
20165,"Rush County, Kansas","3,307","3,036"
20167,"Russell County, Kansas","6,970","6,856"
20169,"Saline County, Kansas","55,606","54,224"
20171,"Scott County, Kansas","4,936","4,823"
20173,"Sedgwick County, Kansas","498,365","516,042"
20175,"Seward County, Kansas","22,952","21,428"
20177,"Shawnee County, Kansas","177,934","176,875"
20179,"Sheridan County, Kansas","2,556","2,521"
20181,"Sherman County, Kansas","6,010","5,917"
20183,"Smith County, Kansas","3,853","3,583"
20185,"Stafford County, Kansas","4,437","4,156"
20187,"Stanton County, Kansas","2,235","2,006"
20189,"Stevens County, Kansas","5,724","5,485"
20191,"Sumner County, Kansas","24,132","22,836"
20193,"Thomas County, Kansas","7,900","7,777"
20195,"Trego County, Kansas","3,001","2,803"
20197,"Wabaunsee County, Kansas","7,053","6,931"
20199,"Wallace County, Kansas","1,485","1,518"
20201,"Washington County, Kansas","5,799","5,406"
20203,"Wichita County, Kansas","2,234","2,119"
20205,"Wilson County, Kansas","9,409","8,525"
20207,"Woodson County, Kansas","3,309","3,138"
20209,"Wyandotte County, Kansas","157,505","165,429"
21001,"Adair County, Kentucky","18,656","19,202"
21003,"Allen County, Kentucky","19,956","21,315"
21005,"Anderson County, Kentucky","21,421","22,747"
21007,"Ballard County, Kentucky","8,249","7,888"
21009,"Barren County, Kentucky","42,173","44,249"
21011,"Bath County, Kentucky","11,591","12,500"
21013,"Bell County, Kentucky","28,691","26,032"
21015,"Boone County, Kentucky","118,811","133,581"
21017,"Bourbon County, Kentucky","19,985","19,788"
21019,"Boyd County, Kentucky","49,542","46,718"
21021,"Boyle County, Kentucky","28,432","30,060"
21023,"Bracken County, Kentucky","8,488","8,303"
21025,"Breathitt County, Kentucky","13,878","12,630"
21027,"Breckinridge County, Kentucky","20,059","20,477"
21029,"Bullitt County, Kentucky","74,319","81,676"
21031,"Butler County, Kentucky","12,690","12,879"
21033,"Caldwell County, Kentucky","12,984","12,747"
21035,"Calloway County, Kentucky","37,191","39,001"
21037,"Campbell County, Kentucky","90,336","93,584"
21039,"Carlisle County, Kentucky","5,104","4,760"
21041,"Carroll County, Kentucky","10,811","10,631"
21043,"Carter County, Kentucky","27,720","26,797"
21045,"Casey County, Kentucky","15,955","16,159"
21047,"Christian County, Kentucky","73,955","70,461"
21049,"Clark County, Kentucky","35,613","36,263"
21051,"Clay County, Kentucky","21,730","19,901"
21053,"Clinton County, Kentucky","10,272","10,218"
21055,"Crittenden County, Kentucky","9,315","8,806"
21057,"Cumberland County, Kentucky","6,856","6,614"
21059,"Daviess County, Kentucky","96,656","101,511"
21061,"Edmonson County, Kentucky","12,161","12,150"
21063,"Elliott County, Kentucky","7,852","7,517"
21065,"Estill County, Kentucky","14,672","14,106"
21067,"Fayette County, Kentucky","295,803","323,152"
21069,"Fleming County, Kentucky","14,348","14,581"
21071,"Floyd County, Kentucky","39,451","35,589"
21073,"Franklin County, Kentucky","49,285","50,991"
21075,"Fulton County, Kentucky","6,813","5,969"
21077,"Gallatin County, Kentucky","8,589","8,869"
21079,"Garrard County, Kentucky","16,912","17,666"
21081,"Grant County, Kentucky","24,662","25,069"
21083,"Graves County, Kentucky","37,121","37,266"
21085,"Grayson County, Kentucky","25,746","26,427"
21087,"Green County, Kentucky","11,258","10,941"
21089,"Greenup County, Kentucky","36,910","35,098"
21091,"Hancock County, Kentucky","8,565","8,722"
21093,"Hardin County, Kentucky","105,543","110,958"
21095,"Harlan County, Kentucky","29,278","26,010"
21097,"Harrison County, Kentucky","18,846","18,886"
21099,"Hart County, Kentucky","18,199","19,035"
21101,"Henderson County, Kentucky","46,250","45,210"
21103,"Henry County, Kentucky","15,416","16,126"
21105,"Hickman County, Kentucky","4,902","4,380"
21107,"Hopkins County, Kentucky","46,920","44,686"
21109,"Jackson County, Kentucky","13,494","13,329"
21111,"Jefferson County, Kentucky","741,096","766,757"
21113,"Jessamine County, Kentucky","48,586","54,115"
21115,"Johnson County, Kentucky","23,356","22,188"
21117,"Kenton County, Kentucky","159,720","166,998"
21119,"Knott County, Kentucky","16,346","14,806"
21121,"Knox County, Kentucky","31,883","31,145"
21123,"Larue County, Kentucky","14,193","14,398"
21125,"Laurel County, Kentucky","58,849","60,813"
21127,"Lawrence County, Kentucky","15,860","15,317"
21129,"Lee County, Kentucky","7,887","7,403"
21131,"Leslie County, Kentucky","11,310","9,877"
21133,"Letcher County, Kentucky","24,519","21,553"
21135,"Lewis County, Kentucky","13,870","13,275"
21137,"Lincoln County, Kentucky","24,742","24,549"
21139,"Livingston County, Kentucky","9,519","9,194"
21141,"Logan County, Kentucky","26,835","27,102"
21143,"Lyon County, Kentucky","8,314","8,210"
21151,"Madison County, Kentucky","82,916","92,987"
21153,"Magoffin County, Kentucky","13,333","12,161"
21155,"Marion County, Kentucky","19,820","19,273"
21157,"Marshall County, Kentucky","31,448","31,100"
21159,"Martin County, Kentucky","12,929","11,195"
21161,"Mason County, Kentucky","17,490","17,070"
21145,"McCracken County, Kentucky","65,565","65,418"
21147,"McCreary County, Kentucky","18,306","17,231"
21149,"McLean County, Kentucky","9,531","9,207"
21163,"Meade County, Kentucky","28,602","28,572"
21165,"Menifee County, Kentucky","6,306","6,489"
21167,"Mercer County, Kentucky","21,331","21,933"
21169,"Metcalfe County, Kentucky","10,099","10,071"
21171,"Monroe County, Kentucky","10,963","10,650"
21173,"Montgomery County, Kentucky","26,499","28,157"
21175,"Morgan County, Kentucky","13,923","13,309"
21177,"Muhlenberg County, Kentucky","31,499","30,622"
21179,"Nelson County, Kentucky","43,437","46,233"
21181,"Nicholas County, Kentucky","7,135","7,269"
21183,"Ohio County, Kentucky","23,842","23,994"
21185,"Oldham County, Kentucky","60,316","66,799"
21187,"Owen County, Kentucky","10,841","10,901"
21189,"Owsley County, Kentucky","4,755","4,415"
21191,"Pendleton County, Kentucky","14,877","14,590"
21193,"Perry County, Kentucky","28,712","25,758"
21195,"Pike County, Kentucky","65,024","57,876"
21197,"Powell County, Kentucky","12,613","12,359"
21199,"Pulaski County, Kentucky","63,063","64,979"
21201,"Robertson County, Kentucky","2,282","2,108"
21203,"Rockcastle County, Kentucky","17,056","16,695"
21205,"Rowan County, Kentucky","23,333","24,460"
21207,"Russell County, Kentucky","17,565","17,923"
21209,"Scott County, Kentucky","47,173","57,004"
21211,"Shelby County, Kentucky","42,074","49,024"
21213,"Simpson County, Kentucky","17,327","18,572"
21215,"Spencer County, Kentucky","17,061","19,351"
21217,"Taylor County, Kentucky","24,512","25,769"
21219,"Todd County, Kentucky","12,460","12,294"
21221,"Trigg County, Kentucky","14,339","14,651"
21223,"Trimble County, Kentucky","8,809","8,471"
21225,"Union County, Kentucky","15,007","14,381"
21227,"Warren County, Kentucky","113,792","132,896"
21229,"Washington County, Kentucky","11,717","12,095"
21231,"Wayne County, Kentucky","20,813","20,333"
21233,"Webster County, Kentucky","13,621","12,942"
21235,"Whitley County, Kentucky","35,637","36,264"
21237,"Wolfe County, Kentucky","7,355","7,157"
21239,"Woodford County, Kentucky","24,939","26,734"
22001,"Acadia County, Louisiana","61,773","62,045"
22003,"Allen County, Louisiana","25,764","25,627"
22005,"Ascension County, Louisiana","107,215","126,604"
22007,"Assumption County, Louisiana","23,421","21,891"
22009,"Avoyelles County, Louisiana","42,073","40,144"
22011,"Beauregard County, Louisiana","35,654","37,497"
22013,"Bienville County, Louisiana","14,353","13,241"
22015,"Bossier County, Louisiana","116,979","127,039"
22017,"Caddo County, Louisiana","254,969","240,204"
22019,"Calcasieu County, Louisiana","192,768","203,436"
22021,"Caldwell County, Louisiana","10,132","9,918"
22023,"Cameron County, Louisiana","6,839","6,973"
22025,"Catahoula County, Louisiana","10,407","9,494"
22027,"Claiborne County, Louisiana","17,195","15,670"
22029,"Concordia County, Louisiana","20,822","19,259"
22031,"De Soto County, Louisiana","26,656","27,463"
22033,"East Baton Rouge County, Louisiana","440,171","440,059"
22035,"East Carroll County, Louisiana","7,759","6,861"
22037,"East Feliciana County, Louisiana","20,267","19,135"
22039,"Evangeline County, Louisiana","33,984","33,395"
22041,"Franklin County, Louisiana","20,767","20,015"
22043,"Grant County, Louisiana","22,309","22,389"
22045,"Iberia County, Louisiana","73,240","69,830"
22047,"Iberville County, Louisiana","33,387","32,511"
22049,"Jackson County, Louisiana","16,274","15,744"
22053,"Jefferson Davis County, Louisiana","31,594","31,368"
22051,"Jefferson County, Louisiana","432,552","432,493"
22055,"Lafayette County, Louisiana","221,578","244,390"
22057,"Lafourche County, Louisiana","96,318","97,614"
22059,"LaSalle County, Louisiana","14,890","14,892"
22061,"Lincoln County, Louisiana","46,735","46,742"
22063,"Livingston County, Louisiana","128,026","140,789"
22065,"Madison County, Louisiana","12,093","10,951"
22067,"Morehouse County, Louisiana","27,979","24,874"
22069,"Natchitoches County, Louisiana","39,566","38,158"
22071,"Orleans County, Louisiana","343,829","390,144"
22073,"Ouachita County, Louisiana","153,720","153,279"
22075,"Plaquemines County, Louisiana","23,042","23,197"
22077,"Pointe Coupee County, Louisiana","22,802","21,730"
22079,"Rapides County, Louisiana","131,613","129,648"
22081,"Red River County, Louisiana","9,091","8,442"
22083,"Richland County, Louisiana","20,725","20,122"
