FIPS,location,census population 2010,estimated population 2019
05035,"Crittenden County, Arkansas","50,902","47,955"
05037,"Cross County, Arkansas","17,870","16,419"
05039,"Dallas County, Arkansas","8,116","7,009"
05041,"Desha County, Arkansas","13,008","11,361"
05043,"Drew County, Arkansas","18,509","18,219"
05045,"Faulkner County, Arkansas","113,237","126,007"
05047,"Franklin County, Arkansas","18,125","17,715"
05049,"Fulton County, Arkansas","12,245","12,477"
05051,"Garland County, Arkansas","96,024","99,386"
05053,"Grant County, Arkansas","17,853","18,265"
05055,"Greene County, Arkansas","42,090","45,325"
05057,"Hempstead County, Arkansas","22,609","21,532"
05059,"Hot Spring County, Arkansas","32,923","33,771"
05061,"Howard County, Arkansas","13,789","13,202"
05063,"Independence County, Arkansas","36,647","37,825"
05065,"Izard County, Arkansas","13,696","13,629"
05067,"Jackson County, Arkansas","17,997","16,719"
05069,"Jefferson County, Arkansas","77,435","66,824"
05071,"Johnson County, Arkansas","25,540","26,578"
05073,"Lafayette County, Arkansas","7,645","6,624"
05075,"Lawrence County, Arkansas","17,415","16,406"
05077,"Lee County, Arkansas","10,424","8,857"
05079,"Lincoln County, Arkansas","14,134","13,024"
05081,"Little River County, Arkansas","13,171","12,259"
05083,"Logan County, Arkansas","22,353","21,466"
05085,"Lonoke County, Arkansas","68,356","73,309"
05087,"Madison County, Arkansas","15,717","16,576"
05089,"Marion County, Arkansas","16,653","16,694"
05091,"Miller County, Arkansas","43,462","43,257"
05093,"Mississippi County, Arkansas","46,480","40,651"
05095,"Monroe County, Arkansas","8,149","6,701"
05097,"Montgomery County, Arkansas","9,487","8,986"
05099,"Nevada County, Arkansas","8,997","8,252"
05101,"Newton County, Arkansas","8,330","7,753"
05103,"Ouachita County, Arkansas","26,120","23,382"
05105,"Perry County, Arkansas","10,445","10,455"
05107,"Phillips County, Arkansas","21,757","17,782"
05109,"Pike County, Arkansas","11,291","10,718"
05111,"Poinsett County, Arkansas","24,583","23,528"
05113,"Polk County, Arkansas","20,662","19,964"
05115,"Pope County, Arkansas","61,754","64,072"
05117,"Prairie County, Arkansas","8,715","8,062"
05119,"Pulaski County, Arkansas","382,748","391,911"
05121,"Randolph County, Arkansas","17,969","17,958"
05125,"Saline County, Arkansas","107,118","122,437"
05127,"Scott County, Arkansas","11,233","10,281"
05129,"Searcy County, Arkansas","8,195","7,881"
05131,"Sebastian County, Arkansas","125,744","127,827"
05133,"Sevier County, Arkansas","17,058","17,007"
05135,"Sharp County, Arkansas","17,264","17,442"
05123,"St. Francis County, Arkansas","28,258","24,994"
05137,"Stone County, Arkansas","12,394","12,506"
05139,"Union County, Arkansas","41,639","38,682"
05141,"Van Buren County, Arkansas","17,295","16,545"
05143,"Washington County, Arkansas","203,065","239,187"
05145,"White County, Arkansas","77,076","78,753"
05147,"Woodruff County, Arkansas","7,260","6,320"
05149,"Yell County, Arkansas","22,185","21,341"
06001,"Alameda County, California","1,510,271","1,671,329"
06003,"Alpine County, California","1,175","1,129"
06005,"Amador County, California","38,091","39,752"
06007,"Butte County, California","220,000","219,186"
06009,"Calaveras County, California","45,578","45,905"
06011,"Colusa County, California","21,419","21,547"
06013,"Contra Costa County, California","1,049,025","1,153,526"
06015,"Del Norte County, California","28,610","27,812"
06017,"El Dorado County, California","181,058","192,843"
06019,"Fresno County, California","930,450","999,101"
06021,"Glenn County, California","28,122","28,393"
06023,"Humboldt County, California","134,623","135,558"
06025,"Imperial County, California","174,528","181,215"
06027,"Inyo County, California","18,546","18,039"
06029,"Kern County, California","839,631","900,202"
06031,"Kings County, California","152,982","152,940"
06033,"Lake County, California","64,665","64,386"
06035,"Lassen County, California","34,895","30,573"
06037,"Los Angeles County, California","9,818,605","10,039,107"
06039,"Madera County, California","150,865","157,327"
06041,"Marin County, California","252,409","258,826"
06043,"Mariposa County, California","18,251","17,203"
06045,"Mendocino County, California","87,841","86,749"
06047,"Merced County, California","255,793","277,680"
06049,"Modoc County, California","9,686","8,841"
06051,"Mono County, California","14,202","14,444"
06053,"Monterey County, California","415,057","434,061"
06055,"Napa County, California","136,484","137,744"
06057,"Nevada County, California","98,764","99,755"
06059,"Orange County, California","3,010,232","3,175,692"
06061,"Placer County, California","348,432","398,329"
06063,"Plumas County, California","20,007","18,807"
06065,"Riverside County, California","2,189,641","2,470,546"
06067,"Sacramento County, California","1,418,788","1,552,058"
06069,"San Benito County, California","55,269","62,808"
06071,"San Bernardino County, California","2,035,210","2,180,085"
06073,"San Diego County, California","3,095,313","3,338,330"
06075,"San Francisco County, California","805,235","881,549"
06077,"San Joaquin County, California","685,306","762,148"
06079,"San Luis Obispo County, California","269,637","283,111"
06081,"San Mateo County, California","718,451","766,573"
06083,"Santa Barbara County, California","423,895","446,499"
06085,"Santa Clara County, California","1,781,642","1,927,852"
06087,"Santa Cruz County, California","262,382","273,213"
06089,"Shasta County, California","177,223","180,080"
06091,"Sierra County, California","3,240","3,005"
06093,"Siskiyou County, California","44,900","43,539"
06095,"Solano County, California","413,344","447,643"
06097,"Sonoma County, California","483,878","494,336"
06099,"Stanislaus County, California","514,453","550,660"
06101,"Sutter County, California","94,737","96,971"
06103,"Tehama County, California","63,463","65,084"
06105,"Trinity County, California","13,786","12,285"
06107,"Tulare County, California","442,179","466,195"
06109,"Tuolumne County, California","55,365","54,478"
06111,"Ventura County, California","823,318","846,006"
06113,"Yolo County, California","200,849","220,500"
06115,"Yuba County, California","72,155","78,668"
08001,"Adams County, Colorado","441,603","517,421"
08003,"Alamosa County, Colorado","15,445","16,233"
08005,"Arapahoe County, Colorado","572,003","656,590"
08007,"Archuleta County, Colorado","12,084","14,029"
08009,"Baca County, Colorado","3,788","3,581"
08011,"Bent County, Colorado","6,499","5,577"
08013,"Boulder County, Colorado","294,567","326,196"
08014,"Broomfield County, Colorado","55,889","70,465"
08015,"Chaffee County, Colorado","17,809","20,356"
08017,"Cheyenne County, Colorado","1,836","1,831"
08019,"Clear Creek County, Colorado","9,088","9,700"
08021,"Conejos County, Colorado","8,256","8,205"
08023,"Costilla County, Colorado","3,524","3,887"
08025,"Crowley County, Colorado","5,823","6,061"
08027,"Custer County, Colorado","4,255","5,068"
08029,"Delta County, Colorado","30,952","31,162"
08031,"Denver County, Colorado","600,158","727,211"
08033,"Dolores County, Colorado","2,064","2,055"
08035,"Douglas County, Colorado","285,465","351,154"
08037,"Eagle County, Colorado","52,197","55,127"
08041,"El Paso County, Colorado","622,263","720,403"
08039,"Elbert County, Colorado","23,086","26,729"
08043,"Fremont County, Colorado","46,824","47,839"
08045,"Garfield County, Colorado","56,389","60,061"
08047,"Gilpin County, Colorado","5,441","6,243"
08049,"Grand County, Colorado","14,843","15,734"
08051,"Gunnison County, Colorado","15,324","17,462"
08053,"Hinsdale County, Colorado",843,820
08055,"Huerfano County, Colorado","6,711","6,897"
08057,"Jackson County, Colorado","1,394","1,392"
08059,"Jefferson County, Colorado","534,543","582,881"
08061,"Kiowa County, Colorado","1,398","1,406"
08063,"Kit Carson County, Colorado","8,270","7,097"
08067,"La Plata County, Colorado","51,334","56,221"
08065,"Lake County, Colorado","7,310","8,127"
08069,"Larimer County, Colorado","299,630","356,899"
08071,"Las Animas County, Colorado","15,507","14,506"
08073,"Lincoln County, Colorado","5,467","5,701"
08075,"Logan County, Colorado","22,709","22,409"
08077,"Mesa County, Colorado","146,723","154,210"
08079,"Mineral County, Colorado",712,769
08081,"Moffat County, Colorado","13,795","13,283"
08083,"Montezuma County, Colorado","25,535","26,183"
08085,"Montrose County, Colorado","41,276","42,758"
08087,"Morgan County, Colorado","28,159","29,068"
08089,"Otero County, Colorado","18,831","18,278"
08091,"Ouray County, Colorado","4,436","4,952"
08093,"Park County, Colorado","16,206","18,845"
08095,"Phillips County, Colorado","4,442","4,265"
08097,"Pitkin County, Colorado","17,148","17,767"
08099,"Prowers County, Colorado","12,551","12,172"
08101,"Pueblo County, Colorado","159,063","168,424"
08103,"Rio Blanco County, Colorado","6,666","6,324"
08105,"Rio Grande County, Colorado","11,982","11,267"
08107,"Routt County, Colorado","23,509","25,638"
08109,"Saguache County, Colorado","6,108","6,824"
08111,"San Juan County, Colorado",699,728
08113,"San Miguel County, Colorado","7,359","8,179"
08115,"Sedgwick County, Colorado","2,379","2,248"
08117,"Summit County, Colorado","27,994","31,011"
08119,"Teller County, Colorado","23,350","25,388"
08121,"Washington County, Colorado","4,814","4,908"
08123,"Weld County, Colorado","252,825","324,492"
08125,"Yuma County, Colorado","10,043","10,019"
09001,"Fairfield County, Connecticut","916,829","943,332"
09003,"Hartford County, Connecticut","894,014","891,720"
09005,"Litchfield County, Connecticut","189,927","180,333"
09007,"Middlesex County, Connecticut","165,676","162,436"
09009,"New Haven County, Connecticut","862,477","854,757"
09011,"New London County, Connecticut","274,055","265,206"
09013,"Tolland County, Connecticut","152,691","150,721"
09015,"Windham County, Connecticut","118,428","116,782"
10001,"Kent County, Delaware","162,310","180,786"
10003,"New Castle County, Delaware","538,479","558,753"
10005,"Sussex County, Delaware","197,145","234,225"
11001,"District of Columbia County, District of Columbia","601,723","705,749"
12001,"Alachua County, Florida","247,336","269,043"
12003,"Baker County, Florida","27,115","29,210"
12005,"Bay County, Florida","168,852","174,705"
12007,"Bradford County, Florida","28,520","28,201"
12009,"Brevard County, Florida","543,376","601,942"
12011,"Broward County, Florida","1,748,066","1,952,778"
12013,"Calhoun County, Florida","14,625","14,105"
12015,"Charlotte County, Florida","159,978","188,910"
12017,"Citrus County, Florida","141,236","149,657"
12019,"Clay County, Florida","190,865","219,252"
12021,"Collier County, Florida","321,520","384,902"
12023,"Columbia County, Florida","67,531","71,686"
12027,"DeSoto County, Florida","34,862","38,001"
