table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Sangamon County, Illinois","-2,793","3,359","21,261","17,902","-6,070","2,214","-8,284",-967,100,"2,201","2,101","-1,069",203,"-1,272"
".Schuyler County, Illinois",-776,-261,566,827,-516,50,-566,-102,-39,54,93,-62,6,-68
".Scott County, Illinois",-404,-110,437,547,-296,26,-322,24,-4,43,47,27,6,21
".Shelby County, Illinois",-721,57,"2,233","2,176",-767,21,-788,-92,-18,228,246,-73,0,-73
".Stark County, Illinois",-650,-159,571,730,-496,11,-507,-76,-19,57,76,-57,2,-59
".Stephenson County, Illinois","-3,210",-455,"4,551","5,006","-2,768",199,"-2,967",-299,-71,476,547,-228,24,-252
".Tazewell County, Illinois","-3,589","1,293","14,258","12,965","-4,835",511,"-5,346",-647,-69,"1,375","1,444",-577,67,-644
".Union County, Illinois","-1,153",-397,"1,685","2,082",-748,25,-773,-179,-51,173,224,-129,0,-129
".Vermilion County, Illinois","-5,867",484,"9,452","8,968","-6,361",214,"-6,575",-944,-27,918,945,-918,19,-937
".Wabash County, Illinois",-427,25,"1,285","1,260",-455,276,-731,-3,17,131,114,-21,34,-55
".Warren County, Illinois",-860,288,"1,970","1,682","-1,154",378,"-1,532",-148,26,204,178,-175,37,-212
".Washington County, Illinois",-829,25,"1,433","1,408",-855,18,-873,-112,11,154,143,-123,0,-123
".Wayne County, Illinois",-545,-62,"1,867","1,929",-467,43,-510,-111,-24,187,211,-87,3,-90
".White County, Illinois","-1,128",-624,"1,444","2,068",-496,35,-531,-81,-67,132,199,-14,2,-16
".Whiteside County, Illinois","-3,326",-196,"5,861","6,057","-3,128",-2,"-3,126",-378,-39,610,649,-337,-7,-330
".Will County, Illinois","13,163","32,421","72,136","39,715","-19,303","4,382","-23,685",-406,"2,499","7,311","4,812","-2,921",171,"-3,092"
".Williamson County, Illinois",232,172,"7,163","6,991",103,419,-316,-385,-53,716,769,-331,28,-359
".Winnebago County, Illinois","-12,692","6,759","33,257","26,498","-19,633","3,587","-23,220","-1,058",517,"3,445","2,928","-1,578",329,"-1,907"
".Woodford County, Illinois",-197,542,"4,016","3,474",-728,91,-819,-68,27,418,391,-94,6,-100
".Adams County, Indiana","1,393","3,415","6,242","2,827","-2,028",49,"-2,077",182,415,676,261,-231,8,-239
".Allen County, Indiana","23,960","19,465","48,133","28,668","4,786","5,887","-1,101","4,220","1,993","5,155","3,162","2,239",747,"1,492"
".Bartholomew County, Indiana","6,996","2,922","9,717","6,795","4,104","3,974",130,"1,057",281,"1,015",734,780,629,151
".Benton County, Indiana",-88,204,976,772,-296,13,-309,95,22,103,81,74,1,73
".Blackford County, Indiana","-1,008",-227,"1,226","1,453",-785,61,-846,-166,-48,115,163,-118,10,-128
".Boone County, Indiana","11,202","2,367","6,952","4,585","8,774",485,"8,289",913,295,764,469,618,72,546
".Brown County, Indiana",-152,-367,"1,064","1,431",222,-25,247,-138,-36,117,153,-101,-3,-98
".Carroll County, Indiana",97,341,"2,030","1,689",-240,72,-312,69,41,232,191,29,16,13
".Cass County, Indiana","-1,281",788,"4,470","3,682","-2,089",817,"-2,906",-206,37,452,415,-242,112,-354
".Clark County, Indiana","8,080","2,705","13,491","10,786","5,385",467,"4,918","1,022",239,"1,436","1,197",783,64,719
".Clay County, Indiana",-663,130,"2,917","2,787",-788,0,-788,50,19,307,288,33,1,32
".Clinton County, Indiana",-820,745,"4,072","3,327","-1,578",145,"-1,723",207,102,422,320,107,20,87
".Crawford County, Indiana",-134,-16,"1,067","1,083",-114,11,-125,-17,-4,117,121,-12,0,-12
".Daviess County, Indiana","1,697","1,875","4,951","3,076",-163,160,-323,73,212,539,327,-142,21,-163
".Dearborn County, Indiana",-569,397,"4,672","4,275",-948,-111,-837,-24,0,457,457,-21,-15,-6
".Decatur County, Indiana",820,651,"3,096","2,445",190,187,3,-166,47,320,273,-215,17,-232
".DeKalb County, Indiana","1,220","1,104","4,850","3,746",141,-42,183,267,102,508,406,167,-9,176
".Delaware County, Indiana","-3,535",-272,"11,071","11,343","-3,241","1,422","-4,663",-162,-106,"1,081","1,187",-53,180,-233
".Dubois County, Indiana",850,"1,340","5,061","3,721",-475,586,"-1,061",62,150,559,409,-87,101,-188
".Elkhart County, Indiana","8,772","13,069","28,381","15,312","-4,216",985,"-5,201",724,"1,385","3,054","1,669",-661,209,-870
".Fayette County, Indiana","-1,199",-601,"2,303","2,904",-586,76,-662,26,-14,271,285,42,15,27
".Floyd County, Indiana","3,943","1,328","8,242","6,914","2,661",262,"2,399",688,127,885,758,566,62,504
".Fountain County, Indiana",-894,-89,"1,734","1,823",-807,8,-815,-44,4,184,180,-48,3,-51
".Franklin County, Indiana",-340,393,"2,354","1,961",-734,77,-811,52,64,275,211,-12,6,-18
".Fulton County, Indiana",-882,83,"2,271","2,188",-959,-8,-951,-79,23,230,207,-101,-1,-100
".Gibson County, Indiana",156,418,"3,773","3,355",-236,260,-496,49,-1,384,385,52,64,-12
".Grant County, Indiana","-4,294",-561,"7,002","7,563","-3,737",187,"-3,924",-270,-60,750,810,-209,26,-235
".Greene County, Indiana","-1,250",-430,"3,154","3,584",-797,29,-826,-137,-77,339,416,-58,4,-62
".Hamilton County, Indiana","63,454","21,022","35,656","14,634","42,206","6,154","36,052","7,700","1,941","3,832","1,891","5,754",792,"4,962"
".Hancock County, Indiana","8,108","1,557","7,351","5,794","6,586",47,"6,539","1,690",215,846,631,"1,475",18,"1,457"
".Harrison County, Indiana","1,149",336,"3,956","3,620",836,133,703,301,58,426,368,244,20,224
".Hendricks County, Indiana","24,855","6,090","16,125","10,035","18,773","2,190","16,583","3,403",592,"1,731","1,139","2,812",273,"2,539"
".Henry County, Indiana","-1,494","-1,032","4,326","5,358",-428,29,-457,-159,-101,448,549,-56,4,-60
".Howard County, Indiana",-204,153,"9,085","8,932",-290,341,-631,287,-4,946,950,298,37,261
".Huntington County, Indiana",-603,111,"3,895","3,784",-705,108,-813,277,21,411,390,258,20,238
".Jackson County, Indiana","1,855","1,167","5,431","4,264",708,908,-200,163,135,591,456,29,114,-85
".Jasper County, Indiana",81,548,"3,537","2,989",-451,42,-493,197,31,362,331,169,3,166
".Jay County, Indiana",-817,592,"2,759","2,167","-1,414",-21,"-1,393",-291,51,277,226,-341,-7,-334
".Jefferson County, Indiana",-92,-55,"3,396","3,451",-12,103,-115,151,22,372,350,133,10,123
".Jennings County, Indiana",-794,438,"3,131","2,693","-1,229",-17,"-1,212",56,36,338,302,22,-1,23
".Johnson County, Indiana","18,312","5,307","16,996","11,689","13,048","2,240","10,808","2,074",511,"1,810","1,299","1,570",302,"1,268"
".Knox County, Indiana","-1,846",94,"4,143","4,049","-1,941",116,"-2,057",-2,-4,390,394,3,20,-17
".Kosciusko County, Indiana","2,101","3,086","9,530","6,444",-924,502,"-1,426",40,305,"1,029",724,-261,85,-346
".LaGrange County, Indiana","2,483","4,447","6,877","2,430","-1,965",30,"-1,995",239,466,727,261,-230,0,-230
".Lake County, Indiana","-10,615","9,950","54,387","44,437","-20,531","1,263","-21,794","1,053",409,"5,438","5,029",673,260,413
".LaPorte County, Indiana","-1,578","1,109","12,075","10,966","-2,616",81,"-2,697",-93,33,"1,248","1,215",-120,7,-127
".Lawrence County, Indiana",-759,-660,"4,446","5,106",-52,105,-157,-260,-98,465,563,-159,5,-164
".Madison County, Indiana","-2,068",-87,"13,666","13,753","-1,898",516,"-2,414",-4,-76,"1,369","1,445",80,64,16
".Marion County, Indiana","61,207","59,971","133,127","73,156","1,853","31,103","-29,250","5,882","6,013","14,203","8,190",-107,"4,759","-4,866"
".Marshall County, Indiana",-792,"1,158","5,419","4,261","-1,949",329,"-2,278",-38,105,582,477,-143,56,-199
".Martin County, Indiana",-125,182,"1,147",965,-304,-3,-301,36,9,111,102,29,-1,30
".Miami County, Indiana","-1,389",57,"3,454","3,397","-1,453",128,"-1,581",-130,18,382,364,-149,26,-175
".Monroe County, Indiana","10,469","3,414","11,884","8,470","7,104","9,055","-1,951","1,201",264,"1,205",941,936,"1,218",-282
".Montgomery County, Indiana",217,569,"4,195","3,626",-328,191,-519,64,37,426,389,29,44,-15
".Morgan County, Indiana","1,563","1,075","7,176","6,101",551,283,268,352,105,780,675,253,45,208
".Newton County, Indiana",-255,-149,"1,303","1,452",-99,140,-239,-2,-13,129,142,11,25,-14
".Noble County, Indiana",206,"1,497","5,629","4,132","-1,275",-3,"-1,272",201,177,632,455,27,15,12
".Ohio County, Indiana",-223,-57,532,589,-164,10,-174,-4,-5,71,76,1,0,1
".Orange County, Indiana",-200,102,"2,174","2,072",-302,88,-390,98,20,246,226,79,15,64
".Owen County, Indiana",-774,-165,"2,018","2,183",-608,33,-641,-63,-61,201,262,1,5,-4
".Parke County, Indiana",-412,350,"1,856","1,506",-768,22,-790,-41,28,203,175,-68,5,-73
".Perry County, Indiana",-169,0,"1,900","1,900",-161,-18,-143,92,21,205,184,73,-1,74
".Pike County, Indiana",-311,-61,"1,276","1,337",-245,58,-303,1,-14,131,145,15,11,4
".Porter County, Indiana","6,100","2,608","15,997","13,389","3,642",811,"2,831",901,-17,"1,618","1,635",931,103,828
".Posey County, Indiana",-485,243,"2,484","2,241",-728,28,-756,-127,-19,242,261,-107,4,-111
".Pulaski County, Indiana","-1,029",-143,"1,237","1,380",-893,72,-965,-139,-13,122,135,-127,14,-141
".Putnam County, Indiana",-369,72,"3,324","3,252",-435,313,-748,90,12,356,344,78,40,38
".Randolph County, Indiana","-1,511",80,"2,761","2,681","-1,603",36,"-1,639",-141,14,283,269,-155,10,-165
".Ripley County, Indiana",-488,282,"3,119","2,837",-762,131,-893,-126,43,343,300,-170,9,-179
".Rush County, Indiana",-811,-68,"1,713","1,781",-746,17,-763,-54,-1,183,184,-52,7,-59
".St. Joseph County, Indiana","4,912","8,498","32,418","23,920","-3,494","5,168","-8,662",854,969,"3,429","2,460",-112,802,-914
".Scott County, Indiana",-322,-272,"2,583","2,855",-44,107,-151,89,-48,262,310,137,20,117
".Shelby County, Indiana",350,484,"4,662","4,178",-102,196,-298,207,50,492,442,158,32,126
".Spencer County, Indiana",-678,159,"2,006","1,847",-837,-11,-826,-108,-23,212,235,-86,-2,-84
".Starke County, Indiana",-367,-89,"2,445","2,534",-259,-18,-241,44,-22,262,284,67,-2,69
".Steuben County, Indiana",447,494,"3,433","2,939",-15,83,-98,107,-12,336,348,121,15,106
".Sullivan County, Indiana",-806,-119,"2,058","2,177",-685,-11,-674,-27,-2,207,209,-26,-2,-24
".Switzerland County, Indiana",64,164,"1,134",970,-102,82,-184,20,1,110,109,20,13,7
".Tippecanoe County, Indiana","22,929","10,200","20,968","10,768","12,787","15,417","-2,630","1,915",992,"2,196","1,204",911,"2,070","-1,159"
".Tipton County, Indiana",-788,-208,"1,377","1,585",-588,35,-623,36,-13,144,157,50,7,43
".Union County, Indiana",-462,8,662,654,-471,-60,-411,25,0,66,66,27,-10,37
".Vanderburgh County, Indiana","1,750","2,797","20,591","17,794",-879,"1,416","-2,295",331,169,"2,058","1,889",170,217,-47
".Vermillion County, Indiana",-712,-440,"1,515","1,955",-272,89,-361,-12,-29,170,199,18,17,1
".Vigo County, Indiana",-814,"1,057","11,740","10,683","-1,820","1,487","-3,307",-329,23,"1,192","1,169",-353,194,-547
".Wabash County, Indiana","-1,892",-796,"3,112","3,908","-1,092",66,"-1,158",-202,-100,306,406,-103,10,-113
".Warren County, Indiana",-246,92,818,726,-337,25,-362,-15,2,86,84,-15,4,-19
".Warrick County, Indiana","3,309",888,"5,969","5,081","2,459",505,"1,954",524,10,627,617,518,58,460
".Washington County, Indiana",-218,107,"2,928","2,821",-315,10,-325,104,19,321,302,87,0,87
".Wayne County, Indiana","-3,112",-628,"7,229","7,857","-2,466",303,"-2,769",-162,-109,757,866,-52,70,-122
".Wells County, Indiana",659,575,"3,153","2,578",99,210,-111,213,75,321,246,140,31,109
".White County, Indiana",-536,150,"2,702","2,552",-672,170,-842,-31,9,291,282,-38,28,-66
".Whitley County, Indiana",677,825,"3,664","2,839",-127,102,-229,-83,97,409,312,-180,12,-192
".Adair County, Iowa",-530,-276,680,956,-254,16,-270,78,7,84,77,73,2,71
".Adams County, Iowa",-427,-61,380,441,-373,0,-373,-42,-9,29,38,-35,0,-35
".Allamakee County, Iowa",-641,171,"1,697","1,526",-813,215,"-1,028",-165,14,192,178,-178,16,-194
".Appanoose County, Iowa",-461,-230,"1,337","1,567",-221,17,-238,25,-43,127,170,69,0,69
".Audubon County, Iowa",-623,-173,566,739,-449,9,-458,25,-3,60,63,30,1,29
".Benton County, Iowa",-424,486,"2,676","2,190",-915,62,-977,20,17,280,263,5,6,-1
".Black Hawk County, Iowa",142,"4,631","15,771","11,140","-4,405","2,573","-6,978",-495,448,"1,660","1,212",-941,188,"-1,129"
".Boone County, Iowa",-74,-53,"2,684","2,737",-3,-90,87,-78,-22,268,290,-55,-15,-40
".Bremer County, Iowa",782,409,"2,404","1,995",394,239,155,121,53,271,218,71,23,48
".Buchanan County, Iowa",222,692,"2,608","1,916",-456,55,-511,-3,68,267,199,-70,4,-74
".Buena Vista County, Iowa",-645,"1,190","2,886","1,696","-1,846",721,"-2,567",-206,138,286,148,-345,40,-385
".Butler County, Iowa",-430,-315,"1,380","1,695",-105,84,-189,-86,-38,134,172,-47,6,-53
".Calhoun County, Iowa",-509,-281,"1,003","1,284",-225,34,-259,-43,-22,102,124,-21,4,-25
".Carroll County, Iowa",-651,148,"2,376","2,228",-801,59,-860,12,13,237,224,-1,7,-8
".Cass County, Iowa","-1,116",-459,"1,336","1,795",-648,49,-697,-112,-41,141,182,-70,7,-77
".Cedar County, Iowa",186,82,"1,712","1,630",116,43,73,63,23,194,171,42,0,42
".Cerro Gordo County, Iowa","-1,703",-357,"4,299","4,656","-1,330",233,"-1,563",-192,-53,442,495,-138,15,-153
".Cherokee County, Iowa",-832,-320,"1,154","1,474",-516,34,-550,-60,-51,112,163,-8,3,-11
".Chickasaw County, Iowa",-509,71,"1,303","1,232",-580,46,-626,-19,34,145,111,-53,6,-59
".Clarke County, Iowa",109,156,"1,156","1,000",-39,123,-162,-107,18,124,106,-123,19,-142
".Clay County, Iowa",-651,91,"1,830","1,739",-737,39,-776,-90,38,201,163,-129,4,-133
".Clayton County, Iowa",-579,-69,"1,742","1,811",-504,76,-580,9,-10,178,188,20,9,11
".Clinton County, Iowa","-2,688",67,"5,191","5,124","-2,772",245,"-3,017",-8,-10,508,518,3,12,-9
".Crawford County, Iowa",-276,663,"2,183","1,520",-942,396,"-1,338",-269,77,228,151,-348,38,-386
".Dallas County, Iowa","27,314","7,256","11,217","3,961","19,811","2,020","17,791","3,500",792,"1,299",507,"2,692",115,"2,577"
".Davis County, Iowa",247,545,"1,333",788,-296,0,-296,28,66,150,84,-38,0,-38
".Decatur County, Iowa",-586,17,879,862,-604,67,-671,-20,19,98,79,-39,3,-42
".Delaware County, Iowa",-759,284,"1,872","1,588","-1,048",65,"-1,113",-70,22,196,174,-93,5,-98
".Des Moines County, Iowa","-1,358",-13,"4,234","4,247","-1,333",168,"-1,501",-182,3,437,434,-185,-12,-173
".Dickinson County, Iowa",591,-369,"1,473","1,842",974,59,915,137,-31,147,178,168,5,163
".Dubuque County, Iowa","3,668","2,707","11,009","8,302","1,034",815,219,389,229,"1,136",907,166,60,106
".Emmet County, Iowa","-1,094",-138,"1,009","1,147",-962,139,"-1,101",-69,-4,104,108,-64,5,-69
".Fayette County, Iowa","-1,232",-339,"1,975","2,314",-897,199,"-1,096",-29,-14,214,228,-14,13,-27
".Floyd County, Iowa",-651,10,"1,763","1,753",-653,71,-724,-110,7,187,180,-118,-5,-113
".Franklin County, Iowa",-610,25,"1,130","1,105",-641,55,-696,-15,10,117,107,-25,6,-31
".Fremont County, Iowa",-478,-105,721,826,-379,22,-401,-21,1,78,77,-22,2,-24
".Greene County, Iowa",-449,-141,967,"1,108",-307,5,-312,-77,-11,103,114,-66,-1,-65
".Grundy County, Iowa",-221,-32,"1,202","1,234",-183,3,-186,-40,-10,124,134,-29,0,-29
".Guthrie County, Iowa",-266,-126,"1,000","1,126",-134,44,-178,-31,-5,112,117,-25,5,-30
".Hamilton County, Iowa",-902,48,"1,654","1,606",-957,62,"-1,019",-113,-8,170,178,-106,1,-107
".Hancock County, Iowa",-708,-116,"1,040","1,156",-592,26,-618,-80,-15,115,130,-65,1,-66
".Hardin County, Iowa",-688,-326,"1,678","2,004",-344,128,-472,-91,-41,169,210,-48,10,-58
".Harrison County, Iowa",-888,-226,"1,452","1,678",-669,-8,-661,-56,-27,154,181,-29,-1,-28
".Henry County, Iowa",-191,128,"2,108","1,980",-329,146,-475,-79,32,215,183,-111,6,-117
".Howard County, Iowa",-406,66,"1,087","1,021",-470,-8,-462,-14,-3,117,120,-10,-4,-6
".Humboldt County, Iowa",-256,-76,994,"1,070",-175,51,-226,-1,1,107,106,-2,5,-7
".Ida County, Iowa",-229,-181,713,894,-45,17,-62,14,-35,68,103,51,1,50
".Iowa County, Iowa",-172,78,"1,723","1,645",-243,-24,-219,29,0,182,182,32,-2,34
".Jackson County, Iowa",-414,-121,"1,969","2,090",-281,13,-294,12,-8,223,231,22,2,20
".Jasper County, Iowa",343,327,"3,821","3,494",38,73,-35,-4,28,406,378,-30,10,-40
".Jefferson County, Iowa","1,455",-116,"1,403","1,519","1,572","2,195",-623,39,-27,158,185,68,142,-74
".Johnson County, Iowa","20,258","10,171","16,549","6,378","10,086","7,821","2,265",591,965,"1,730",765,-377,478,-855
".Jones County, Iowa",45,82,"1,924","1,842",-29,135,-164,8,-2,200,202,12,11,1
".Keokuk County, Iowa",-264,80,"1,134","1,054",-344,37,-381,33,18,121,103,16,4,12
".Kossuth County, Iowa",-732,-143,"1,534","1,677",-582,59,-641,-65,12,164,152,-78,5,-83
".Lee County, Iowa","-2,205",-214,"3,745","3,959","-1,984",16,"-2,000",-252,-28,370,398,-224,-5,-219
".Linn County, Iowa","15,463","9,740","25,595","15,855","5,939","2,948","2,991",943,933,"2,734","1,801",19,168,-149
".Louisa County, Iowa",-352,275,"1,250",975,-635,321,-956,-118,15,128,113,-134,17,-151
".Lucas County, Iowa",-300,-23,965,988,-273,12,-285,-17,27,118,91,-44,-2,-42
".Lyon County, Iowa",174,529,"1,571","1,042",-355,27,-382,-60,56,171,115,-115,5,-120
".Madison County, Iowa",657,145,"1,528","1,383",513,71,442,132,4,158,154,129,3,126
".Mahaska County, Iowa",-287,462,"2,573","2,111",-740,211,-951,77,49,266,217,30,15,15
".Marion County, Iowa",-54,258,"3,364","3,106",-306,100,-406,-6,13,340,327,-19,4,-23
".Marshall County, Iowa","-1,279",547,"4,962","4,415","-1,836",986,"-2,822",-519,36,514,478,-556,35,-591
".Mills County, Iowa",50,140,"1,380","1,240",-89,11,-100,41,3,137,134,37,3,34
".Mitchell County, Iowa",-190,-90,"1,143","1,233",-88,22,-110,15,6,129,123,11,1,10
".Monona County, Iowa",-627,-529,807,"1,336",-93,13,-106,-44,-51,86,137,7,0,7
".Monroe County, Iowa",-265,-157,795,952,-100,41,-141,-61,-1,78,79,-59,4,-63
".Montgomery County, Iowa",-823,-305,"1,063","1,368",-518,22,-540,-44,-28,107,135,-16,1,-17
".Muscatine County, Iowa",-139,"1,349","5,002","3,653","-1,485",728,"-2,213",-210,154,526,372,-365,47,-412
".O'Brien County, Iowa",-645,-200,"1,541","1,741",-439,35,-474,-45,-12,170,182,-32,1,-33
".Osceola County, Iowa",-504,-8,635,643,-502,48,-550,-70,-8,59,67,-60,2,-62
".Page County, Iowa",-839,-372,"1,514","1,886",-462,59,-521,-122,-54,140,194,-67,1,-68
".Palo Alto County, Iowa",-535,-197,965,"1,162",-337,150,-487,-17,-2,106,108,-15,12,-27
".Plymouth County, Iowa",193,370,"2,621","2,251",-169,193,-362,153,45,276,231,112,17,95
".Pocahontas County, Iowa",-691,-170,699,869,-528,14,-542,-95,-14,71,85,-81,0,-81
".Polk County, Iowa","59,530","31,684","62,852","31,168","27,787","9,408","18,379","4,328","3,170","6,750","3,580","1,162",385,777
".Pottawattamie County, Iowa",57,"2,557","10,919","8,362","-2,463",206,"-2,669",-58,169,"1,110",941,-224,-8,-216
".Poweshiek County, Iowa",-411,-401,"1,628","2,029",-7,261,-268,37,-32,166,198,70,9,61
".Ringgold County, Iowa",-236,-206,503,709,-29,13,-42,-46,-11,52,63,-35,1,-36
".Sac County, Iowa",-629,-256,"1,022","1,278",-365,0,-365,16,-11,106,117,29,0,29
".Scott County, Iowa","7,720","6,630","20,277","13,647","1,166","1,703",-537,140,560,"2,069","1,509",-416,65,-481
".Shelby County, Iowa",-715,-260,"1,085","1,345",-451,28,-479,-105,-22,110,132,-82,-1,-81
".Sioux County, Iowa","1,151","2,327","4,653","2,326","-1,183",508,"-1,691",53,233,487,254,-181,24,-205
".Story County, Iowa","7,575","3,824","8,517","4,693","3,709","6,437","-2,728",336,346,872,526,-14,355,-369
".Tama County, Iowa",-913,116,"2,030","1,914","-1,028",40,"-1,068",-15,26,219,193,-39,3,-42
".Taylor County, Iowa",-196,-7,694,701,-189,50,-239,-39,8,70,62,-47,1,-48
".Union County, Iowa",-293,-101,"1,261","1,362",-193,78,-271,-57,-8,130,138,-49,4,-53
".Van Buren County, Iowa",-527,-7,830,837,-519,1,-520,31,-8,88,96,40,0,40
".Wapello County, Iowa",-655,294,"4,056","3,762",-928,953,"-1,881",-22,44,436,392,-67,87,-154
".Warren County, Iowa","5,240","1,387","5,112","3,725","3,884",100,"3,784",452,147,586,439,309,1,308
".Washington County, Iowa",261,435,"2,685","2,250",-157,41,-198,-93,50,275,225,-143,-1,-142
".Wayne County, Iowa",38,30,809,779,12,8,4,36,-8,80,88,43,0,43
".Webster County, Iowa","-2,107",-59,"4,055","4,114","-2,056",411,"-2,467",-435,3,421,418,-439,28,-467
".Winnebago County, Iowa",-520,-129,"1,037","1,166",-397,21,-418,-185,-24,95,119,-161,1,-162
".Winneshiek County, Iowa","-1,067",-76,"1,594","1,670",-990,55,"-1,045",-26,-13,174,187,-12,4,-16
".Woodbury County, Iowa",932,"5,214","13,896","8,682","-4,292","1,629","-5,921",592,490,"1,390",900,107,100,7
".Worth County, Iowa",-210,-62,716,778,-148,7,-155,-32,8,77,69,-40,0,-40
".Wright County, Iowa",-667,-108,"1,407","1,515",-558,118,-676,-128,-7,154,161,-121,11,-132
".Allen County, Kansas","-1,003",-274,"1,334","1,608",-732,77,-809,-132,-23,138,161,-107,8,-115
".Anderson County, Kansas",-244,10,912,902,-254,-31,-223,10,6,102,96,4,-4,8
".Atchison County, Kansas",-848,143,"1,809","1,666",-996,-15,-981,-100,-8,162,170,-92,-2,-90
".Barber County, Kansas",-437,16,553,537,-455,6,-461,-38,2,50,48,-40,1,-41
".Barton County, Kansas","-1,893",372,"3,123","2,751","-2,263",31,"-2,294",-278,-33,271,304,-245,5,-250
".Bourbon County, Kansas",-638,116,"1,855","1,739",-753,138,-891,-8,29,175,146,-37,9,-46
".Brown County, Kansas",-420,62,"1,212","1,150",-483,3,-486,-46,4,125,121,-50,-1,-49
".Butler County, Kansas","1,027","1,177","6,989","5,812",-138,267,-405,78,94,731,637,-14,20,-34
".Chase County, Kansas",-142,-77,225,302,-63,0,-63,48,4,18,14,44,0,44
".Chautauqua County, Kansas",-419,-190,300,490,-229,1,-230,-54,-12,28,40,-42,0,-42
".Cherokee County, Kansas","-1,668",-348,"2,113","2,461","-1,325",13,"-1,338",-96,-52,212,264,-44,10,-54
".Cheyenne County, Kansas",-69,-60,284,344,-8,24,-32,12,-15,28,43,26,2,24
".Clark County, Kansas",-221,-75,219,294,-148,0,-148,0,1,23,22,-1,0,-1
".Clay County, Kansas",-543,-23,936,959,-519,-2,-517,-1,-14,92,106,14,1,13
".Cloud County, Kansas",-747,-229,"1,013","1,242",-518,91,-609,52,-26,98,124,79,5,74
".Coffey County, Kansas",-419,-78,828,906,-339,7,-346,-53,12,96,84,-66,1,-67
".Comanche County, Kansas",-191,-86,193,279,-109,-5,-104,-36,5,20,15,-41,-1,-40
".Cowley County, Kansas","-1,401",91,"4,055","3,964","-1,494",337,"-1,831",-241,-20,393,413,-221,19,-240
".Crawford County, Kansas",-317,659,"4,479","3,820",-970,963,"-1,933",-93,87,448,361,-183,85,-268
".Decatur County, Kansas",-138,-126,300,426,-12,22,-34,-33,-8,31,39,-25,4,-29
".Dickinson County, Kansas","-1,283",-101,"2,047","2,148","-1,183",38,"-1,221",-216,-1,198,199,-215,2,-217
".Doniphan County, Kansas",-348,6,727,721,-353,27,-380,-58,-2,69,71,-56,1,-57
".Douglas County, Kansas","11,433","4,907","11,149","6,242","6,564","5,122","1,442","1,150",420,"1,107",687,729,387,342
".Edwards County, Kansas",-239,-33,290,323,-213,27,-240,-22,4,25,21,-26,2,-28
".Elk County, Kansas",-352,-130,253,383,-227,1,-228,46,-10,23,33,58,0,58
".Ellis County, Kansas",101,934,"3,252","2,318",-840,530,"-1,370",-93,46,294,248,-140,44,-184
".Ellsworth County, Kansas",-395,-215,552,767,-180,10,-190,-61,-14,54,68,-47,2,-49
".Finney County, Kansas",-318,"4,322","6,283","1,961","-4,690","1,215","-5,905",-61,405,613,208,-469,105,-574
".Ford County, Kansas",-225,"3,722","5,931","2,209","-4,000","2,131","-6,131",-258,340,559,219,-602,240,-842
".Franklin County, Kansas",-452,491,"2,894","2,403",-936,89,"-1,025",-81,45,295,250,-127,9,-136
".Geary County, Kansas","-2,686","7,279","9,176","1,897","-10,191","1,474","-11,665","-1,107",664,851,187,"-1,769",24,"-1,793"
".Gove County, Kansas",-65,-44,304,348,-21,15,-36,25,-8,27,35,35,2,33
".Graham County, Kansas",-106,-100,214,314,-8,30,-38,7,-19,19,38,27,3,24
".Grant County, Kansas",-674,625,"1,102",477,"-1,317",-38,"-1,279",-144,74,108,34,-219,-9,-210
".Gray County, Kansas",-13,372,812,440,-395,110,-505,-88,53,94,41,-143,16,-159
".Greeley County, Kansas",-16,12,181,169,-30,17,-47,3,13,22,9,-11,2,-13
".Greenwood County, Kansas",-707,-305,568,873,-403,0,-403,-29,-15,56,71,-14,0,-14
".Hamilton County, Kansas",-148,119,353,234,-271,136,-407,-61,12,29,17,-73,15,-88
".Harper County, Kansas",-598,-195,642,837,-401,25,-426,-72,-34,57,91,-38,2,-40
".Harvey County, Kansas",-255,229,"3,809","3,580",-474,358,-832,246,40,372,332,209,37,172
".Haskell County, Kansas",-288,235,470,235,-532,35,-567,-22,28,49,21,-50,3,-53
".Hodgeman County, Kansas",-124,2,193,191,-130,56,-186,-28,-8,17,25,-21,6,-27
".Jackson County, Kansas",-289,306,"1,566","1,260",-600,-15,-585,-99,42,173,131,-141,-3,-138
".Jefferson County, Kansas",-65,33,"1,712","1,679",-92,-9,-83,187,22,171,149,165,-2,167
".Jewell County, Kansas",-194,-89,273,362,-104,1,-105,34,-3,31,34,38,0,38
".Johnson County, Kansas","58,220","33,341","67,926","34,585","25,309","10,776","14,533","4,274","3,055","7,125","4,070","1,236",937,299
".Kearny County, Kansas",-144,240,566,326,-392,62,-454,-103,36,59,23,-141,5,-146
".Kingman County, Kansas",-708,-335,728,"1,063",-373,-10,-363,-68,-18,75,93,-49,-1,-48
".Kiowa County, Kansas",-78,70,306,236,-150,22,-172,-14,6,29,23,-19,1,-20
".Labette County, Kansas","-1,991",35,"2,466","2,431","-2,042",12,"-2,054",-288,26,248,222,-315,-3,-312
".Lane County, Kansas",-214,-75,165,240,-138,0,-138,-11,-4,13,17,-7,0,-7
