table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Perry County, Alabama","-1,652",-149,"1,064","1,213","-1,518",13,"-1,531",-147,-26,95,121,-122,2,-124
".Pickens County, Alabama",184,-210,"2,027","2,237",336,69,267,-50,-30,205,235,-19,14,-33
".Pike County, Alabama",213,497,"3,463","2,966",-313,947,"-1,260",-128,6,345,339,-131,79,-210
".Randolph County, Alabama",-194,-385,"2,313","2,698",195,-58,253,-5,-31,254,285,27,-6,33
".Russell County, Alabama","4,998","2,494","7,880","5,386","2,319",33,"2,286",177,202,810,608,-23,-49,26
".St. Clair County, Alabama","6,162","1,211","9,573","8,362","4,978",314,"4,664",858,8,983,975,851,23,828
".Shelby County, Alabama","22,449","8,978","21,892","12,914","13,516","1,887","11,629","2,119",611,"2,237","1,626","1,518",137,"1,381"
".Sumter County, Alabama","-1,336",-162,"1,307","1,469","-1,179",312,"-1,491",-207,-27,136,163,-180,27,-207
".Talladega County, Alabama","-2,375","-1,177","7,978","9,155","-1,152",321,"-1,473",-159,-200,844,"1,044",46,32,14
".Tallapoosa County, Alabama","-1,251",-783,"4,139","4,922",-451,16,-467,-168,-149,385,534,-16,2,-18
".Tuscaloosa County, Alabama","14,688","7,010","22,835","15,825","7,708","2,654","5,054","1,036",559,"2,431","1,872",482,221,261
".Walker County, Alabama","-3,499","-1,956","7,318","9,274","-1,495",108,"-1,603",-148,-219,750,969,74,-1,75
".Washington County, Alabama","-1,254",-282,"1,560","1,842",-979,170,"-1,149",-76,-26,165,191,-51,14,-65
".Wilcox County, Alabama","-1,291",-160,"1,248","1,408","-1,148",0,"-1,148",-226,-29,133,162,-197,0,-197
".Winston County, Alabama",-859,-615,"2,252","2,867",-228,10,-238,-64,-82,243,325,19,2,17
".Aleutians East Borough, Alaska",196,64,133,69,125,687,-562,-58,1,10,9,-60,43,-103
".Aleutians West Census Area, Alaska",73,192,311,119,-133,871,"-1,004",-6,31,38,7,-38,53,-91
".Anchorage Municipality, Alaska","-3,836","26,159","41,510","15,351","-30,243","8,529","-38,772","-2,521","2,076","3,923","1,847","-4,608",364,"-4,972"
".Bethel Census Area, Alaska","1,373","2,852","3,959","1,107","-1,488",53,"-1,541",167,253,403,150,-86,2,-88
".Bristol Bay Borough, Alaska",-161,20,92,72,-183,7,-190,-44,1,8,7,-45,1,-46
".Denali Borough, Alaska",275,97,175,78,174,187,-13,65,5,14,9,59,8,51
".Dillingham Census Area, Alaska",69,571,916,345,-505,8,-513,-75,45,87,42,-120,1,-121
".Fairbanks North Star Borough, Alaska",-736,"11,008","15,436","4,428","-11,928","2,339","-14,267","-1,716","1,027","1,533",506,"-2,747",16,"-2,763"
".Haines Borough, Alaska",22,34,186,152,-11,37,-48,42,13,20,7,28,0,28
".Hoonah-Angoon Census Area, Alaska",45,64,193,129,-20,50,-70,-7,2,20,18,-9,4,-13
".Juneau City and Borough, Alaska",698,"1,767","3,479","1,712","-1,073",617,"-1,690",-63,163,340,177,-227,20,-247
".Kenai Peninsula Borough, Alaska","3,308","2,517","6,543","4,026",803,405,398,147,124,665,541,26,20,6
".Ketchikan Gateway Borough, Alaska",375,677,"1,540",863,-305,358,-663,45,65,153,88,-18,24,-42
".Kodiak Island Borough, Alaska",-608,"1,402","1,938",536,"-2,043",736,"-2,779",-252,115,168,53,-367,33,-400
".Kusilvak Census Area, Alaska",855,"1,535","2,145",610,-687,68,-755,-9,130,233,103,-139,7,-146
".Lake and Peninsula Borough, Alaska",-43,187,300,113,-234,39,-273,-4,21,31,10,-25,3,-28
".Matanuska-Susitna Borough, Alaska","19,332","7,620","12,920","5,300","11,573",530,"11,043","1,202",722,"1,368",646,482,16,466
".Nome Census Area, Alaska",512,"1,324","2,036",712,-821,47,-868,-49,96,197,101,-145,2,-147
".North Slope Borough, Alaska",402,"1,109","1,544",435,-714,108,-822,-18,94,151,57,-113,1,-114
".Northwest Arctic Borough, Alaska",98,"1,170","1,672",502,"-1,081",78,"-1,159",-73,77,167,90,-149,7,-156
