State Name,County Name,Census 2010,Population Estimate 2019
Arkansas,Johnson County,"25,540","26,578"
Arkansas,Lafayette County,"7,645","6,624"
Arkansas,Lawrence County,"17,415","16,406"
Arkansas,Lee County,"10,424","8,857"
Arkansas,Lincoln County,"14,134","13,024"
Arkansas,Little River County,"13,171","12,259"
Arkansas,Logan County,"22,353","21,466"
Arkansas,Lonoke County,"68,356","73,309"
Arkansas,Madison County,"15,717","16,576"
Arkansas,Marion County,"16,653","16,694"
Arkansas,Miller County,"43,462","43,257"
Arkansas,Mississippi County,"46,480","40,651"
Arkansas,Monroe County,"8,149","6,701"
Arkansas,Montgomery County,"9,487","8,986"
Arkansas,Nevada County,"8,997","8,252"
Arkansas,Newton County,"8,330","7,753"
Arkansas,Ouachita County,"26,120","23,382"
Arkansas,Perry County,"10,445","10,455"
Arkansas,Phillips County,"21,757","17,782"
Arkansas,Pike County,"11,291","10,718"
Arkansas,Poinsett County,"24,583","23,528"
Arkansas,Polk County,"20,662","19,964"
Arkansas,Pope County,"61,754","64,072"
Arkansas,Prairie County,"8,715","8,062"
Arkansas,Pulaski County,"382,748","391,911"
Arkansas,Randolph County,"17,969","17,958"
Arkansas,Saline County,"107,118","122,437"
Arkansas,Scott County,"11,233","10,281"
Arkansas,Searcy County,"8,195","7,881"
Arkansas,Sebastian County,"125,744","127,827"
Arkansas,Sevier County,"17,058","17,007"
Arkansas,Sharp County,"17,264","17,442"
Arkansas,St. Francis County,"28,258","24,994"
Arkansas,Stone County,"12,394","12,506"
Arkansas,Union County,"41,639","38,682"
Arkansas,Van Buren County,"17,295","16,545"
Arkansas,Washington County,"203,065","239,187"
Arkansas,White County,"77,076","78,753"
Arkansas,Woodruff County,"7,260","6,320"
Arkansas,Yell County,"22,185","21,341"
California,Alameda County,"1,510,271","1,671,329"
California,Alpine County,"1,175","1,129"
California,Amador County,"38,091","39,752"
California,Butte County,"220,000","219,186"
California,Calaveras County,"45,578","45,905"
California,Colusa County,"21,419","21,547"
California,Contra Costa County,"1,049,025","1,153,526"
California,Del Norte County,"28,610","27,812"
California,El Dorado County,"181,058","192,843"
California,Fresno County,"930,450","999,101"
California,Glenn County,"28,122","28,393"
California,Humboldt County,"134,623","135,558"
California,Imperial County,"174,528","181,215"
California,Inyo County,"18,546","18,039"
California,Kern County,"839,631","900,202"
California,Kings County,"152,982","152,940"
California,Lake County,"64,665","64,386"
California,Lassen County,"34,895","30,573"
California,Los Angeles County,"9,818,605","10,039,107"
California,Madera County,"150,865","157,327"
California,Marin County,"252,409","258,826"
